abbattere,tristezza
aberrante,disgusto
abhor,rabbia
abhorr,disgusto
abomin,disgusto
abominare,rabbia
abominevole,disgusto
abominio,rabbia
accattivante,gioia
acume,gioia
addolorato,tristezza
adirato,rabbia
admir,sorpresa
ador,gioia
adorabilmente,gioia
adorante,gioia
adorazione,gioia
affascinante,gioia
affascinare,gioia
afferrare,rabbia
affettivo,gioia
affetto,gioia
affettuosamente,gioia
affettuosità,gioia
affettuoso,gioia
afflitto,tristezza
affright,paura
agghiacciante,paura
aggrav,rabbia
aggravamento,rabbia
aggravare,rabbia
aggravato,rabbia
aggress,rabbia
aggressione,rabbia
aggressività,rabbia
aggressivo,rabbia
aggriev,tristezza
aggrieve,tristezza
allarmato,paura
allarme,paura
allegare,gioia
allegramente,gioia
allegrezza,gioia
allegria,gioia
allegro,gioia
allietare,gioia
alto lo spirito,gioia
alto sdegno,rabbia
alzare,gioia
amarezza,rabbia
amaro,rabbia
amat,gioia
amative,gioia
amatore,gioia
amatorio,gioia
amaz,sorpresa
amic,gioia
amicability,gioia
amicableness,gioia
amichevole,gioia
amichevolmente,gioia
amicizia,gioia
amico,gioia
ammalare,disgusto
ammaliante,gioia
ammirare,gioia
ammirazione,sorpresa
ammirevole,gioia
amok,rabbia
amore,gioia
amore di vitello,gioia
amorevole,gioia
amorevolezza,gioia
amoroso,gioia
amorousness,gioia
amuck,rabbia
angoscia,tristezza
angri,rabbia
angrili,rabbia
animos,rabbia
animosità,rabbia
animus,rabbia
annoiato,tristezza
ansia,paura
ansioso,gioia
antagon,rabbia
antagonismo,rabbia
anticip,gioia
anticipare,gioia
anticipazione,gioia
appal,paura
appartenenza,gioia
appartenere,gioia
appassionato,gioia
appreci,gioia
apprehens,paura
apprehensiveness,paura
apprensione,paura
apprezzare,gioia
approb,gioia
approbative,gioia
approbatori,gioia
approbatory,gioia
approv,gioia
approvare,gioia
approvazione,gioia
ardore,gioia
arrabbiato,rabbia
criticare,rabbia
arrivare a,rabbia
aspettare,gioia
aspettativa,gioia
assetato,gioia
assillo,rabbia
astoni,sorpresa
atroce,paura
attaccamento,gioia
attacco di panico,paura
atterrire,paura
attrit,tristezza
attrito,tristezza
auto-compiacimento,gioia
auto-complac,gioia
auto-piti,tristezza
auto-satisfact,gioia
auto-sfiducia,paura
auto-soddisfazione,gioia
autocommiserazione,tristezza
autostima,gioia
avarici,rabbia
avaro,rabbia
avidità,gioia
avidness,gioia
avido,rabbia
avviamento,gioia
avviso,paura
aw,sorpresa
awestricken,sorpresa
baffl,sorpresa
balk,rabbia
bang,gioia
barcollare,sorpresa
bash,paura
basso,tristezza
basso lo spirito,tristezza
basso spiritedness,tristezza
basso-spirited,tristezza
battere,sorpresa
battuta,gioia
becharm,gioia
bedevil,rabbia
begrudg,rabbia
begrudge,rabbia
begrudging,rabbia
beguil,gioia
bellicoso,rabbia
belliger,rabbia
belligeranza,rabbia
bene,gioia
benef,gioia
beneficamente,gioia
beneficenza,gioia
beneficiare,gioia
beneficio,gioia
benefico,gioia
benevol,gioia
benevolenza,gioia
benevolmente,gioia
benevolo,gioia
bereav,tristezza
besot,sorpresa
bewild,sorpresa
bewitch,gioia
blith,gioia
blitheness,gioia
blu,tristezza
bode,paura
boding,paura
bonheur,gioia
bothersom,rabbia
brivido,paura
brotherlik,gioia
browbeaten,paura
bruciore di stomaco,rabbia
brutto,paura
buio,tristezza
bullo,paura
buon cuore,gioia
buon umore,gioia
buona volontà,gioia
buoyanc,gioia
calcio,gioia
caldo,gioia
calore,gioia
camminare in aria,gioia
capriccio,rabbia
captiv,gioia
captivation,gioia
captur,gioia
carattere irascibile,rabbia
carefre,gioia
carica,gioia
carico,tristezza
caritatevole,gioia
caserma,gioia
cattiva temperatura,rabbia
cattiva volontà,rabbia
cattivo sangue,rabbia
cattivo umore,rabbia
cattura,gioia
cercare,gioia
